,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
99,"Walker, Taijuan",6.185105761033954,10.091352968877507,7.952192183295444,[0.36374147 0.41196155 0.02783511 0.19646186],"[[-0.75476593  3.32260239]
 [ 0.32482516  2.79026693]
 [ 0.60080157  1.68420033]
 [-0.32918818  2.57528069]]","[[[ 0.2442716   0.05182678]
  [ 0.05182678  0.29808493]]

 [[ 0.23015472 -0.00074073]
  [-0.00074073  0.37616234]]

 [[ 0.02660756  0.02291985]
  [ 0.02291985  0.01980409]]

 [[ 0.14834596  0.18172651]
  [ 0.18172651  0.36313736]]]"
71,"Gonzales, Marco",6.166527768845424,10.697947909034326,7.959784774644943,[0.19882426 0.63032083 0.1708549 ],"[[-0.71793908  3.15076757]
 [ 0.35166434  2.78119331]
 [-0.74662597  2.02687182]]","[[[0.18271873 0.13042819]
  [0.13042819 0.29913334]]

 [[0.27054533 0.0930151 ]
  [0.0930151  0.38037018]]

 [[0.11941938 0.06900321]
  [0.06900321 0.1370479 ]]]"
82,"Anderson, Ian",6.217921967583907,10.932361410633238,7.962198848085741,[0.34610591 0.17272892 0.20494894 0.27621623],"[[-0.52881582  2.84341785]
 [ 0.42228252  3.49700251]
 [-0.46343654  1.99112099]
 [ 0.55458025  2.71242933]]","[[[ 0.15323594 -0.11350194]
  [-0.11350194  0.48707865]]

 [[ 0.39296453 -0.12698167]
  [-0.12698167  0.29528738]]

 [[ 0.22082315 -0.08525893]
  [-0.08525893  0.2492209 ]]

 [[ 0.12657373 -0.10537397]
  [-0.10537397  0.3419496 ]]]"
129,"Wilson, Bryse",5.457060149020528,9.504513932167015,7.963534415713822,[0.14083313 0.11589557 0.7432713 ],"[[ 0.41023488  3.20268142]
 [ 0.67181452  2.1681083 ]
 [-0.45772311  2.95710151]]","[[[ 0.17982432  0.0395783 ]
  [ 0.0395783   0.03838088]]

 [[ 0.05502585 -0.04581582]
  [-0.04581582  0.14690342]]

 [[ 0.2672924   0.00897821]
  [ 0.00897821  0.36266575]]]"
127,"Ober, Bailey",6.0656378138594444,9.87146893264245,7.967465256796869,[0.61270939 0.38729061],"[[-0.30585538  3.51685554]
 [-0.17897659  2.4811752 ]]","[[[ 0.33547546  0.00133741]
  [ 0.00133741  0.22847976]]

 [[ 0.40533745 -0.0195533 ]
  [-0.0195533   0.1622791 ]]]"
2,"Matzek, Tyler",5.611184603484767,9.527516491663043,7.985290905808032,[0.84880757 0.15119243],"[[-0.17282365  2.90161763]
 [-0.67341852  1.61167604]]","[[[ 0.21153637  0.0117171 ]
  [ 0.0117171   0.33574639]]

 [[ 0.20160202 -0.07064608]
  [-0.07064608  0.12972248]]]"
79,"Morgan, Eli",5.489157201483324,9.227613182683092,7.990137018948245,[0.21760946 0.78239054],"[[ 0.01137722  2.10762519]
 [-0.06823304  3.12171436]]","[[[ 0.32428887 -0.02216478]
  [-0.02216478  0.08814204]]

 [[ 0.33305627 -0.00159241]
  [-0.00159241  0.21879222]]]"
32,"Gallen, Zac",6.218653203869671,10.370437353147166,8.003551136040606,[0.55587092 0.12733503 0.31679405],"[[-0.5170131   2.40998164]
 [ 0.33233686  3.323915  ]
 [ 0.34246083  2.02628867]]","[[[ 0.16558693 -0.02120411]
  [-0.02120411  0.45434822]]

 [[ 0.16321655  0.00602889]
  [ 0.00602889  0.08723183]]

 [[ 0.19587701  0.0578818 ]
  [ 0.0578818   0.28408658]]]"
132,"Paddack, Chris",6.021866225726595,9.916754234809124,8.024224996714471,[0.54723919 0.45276081],"[[-0.19700327  2.38842633]
 [-0.16634193  3.44151349]]","[[[ 0.31870234  0.01333765]
  [ 0.01333765  0.20882069]]

 [[ 0.33025247 -0.01417769]
  [-0.01417769  0.25384954]]]"
64,"May, Trevor",5.626893546092368,9.765664330637117,8.040107800412338,[0.15757059 0.16586321 0.67656619],"[[ 0.57942028  2.7630915 ]
 [-0.53603827  4.01111243]
 [-0.00740069  2.86557114]]","[[[ 0.08728067  0.14535636]
  [ 0.14535636  0.33977738]]

 [[ 0.23016355  0.01036002]
  [ 0.01036002  0.06043418]]

 [[ 0.25190818 -0.10314765]
  [-0.10314765  0.36331845]]]"
47,"Musgrove, Joe",6.0280670044512785,10.243891241748447,8.054949609551997,[0.29347294 0.70652706],"[[-0.63733317  3.40577095]
 [ 0.0514707   2.33618476]]","[[[0.15408463 0.04292249]
  [0.04292249 0.25210433]]

 [[0.3268143  0.05854182]
  [0.05854182 0.2831834 ]]]"
39,"Urías, Julio",5.773518773030608,9.67408505779342,8.091969513271174,[0.2597996 0.7402004],"[[-0.25107347  1.87100125]
 [ 0.04369885  2.99429328]]","[[[0.30181904 0.0136811 ]
  [0.0136811  0.11319094]]

 [[0.24234156 0.08063833]
  [0.08063833 0.40379405]]]"
